,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
108,female,group C,associate's degree,free/reduced,none,66,80,77,,sometimes,no,3,school_bus,05-Oct
109,male,group A,some college,free/reduced,none,63,65,63,single,sometimes,no,5,school_bus,05-Oct
110,male,group E,some high school,standard,none,84,80,78,single,never,yes,1,school_bus,05-Oct
111,female,group D,high school,standard,completed,50,59,66,married,regularly,yes,1,,> 10
112,female,group D,high school,free/reduced,completed,51,57,65,married,sometimes,no,5,,05-Oct
113,female,group E,associate's degree,standard,completed,89,89,96,divorced,never,no,4,,05-Oct
114,male,group B,high school,free/reduced,none,47,37,37,married,sometimes,yes,6,school_bus,05-Oct
115,male,group C,some high school,standard,none,76,74,67,single,regularly,yes,4,private,
116,female,group E,high school,standard,completed,82,88,85,single,sometimes,yes,4,private,> 10
117,male,group D,bachelor's degree,standard,completed,96,90,89,married,sometimes,no,3,private,05-Oct
118,male,group B,some college,free/reduced,none,65,76,64,married,sometimes,yes,3,private,< 5
119,female,group D,bachelor's degree,free/reduced,completed,92,100,100,,sometimes,yes,2,school_bus,05-Oct
120,female,group A,bachelor's degree,standard,none,73,81,85,divorced,sometimes,no,2,private,05-Oct
121,female,group C,bachelor's degree,standard,none,69,80,81,single,regularly,yes,5,,05-Oct
122,male,group D,bachelor's degree,standard,none,84,77,72,married,sometimes,yes,4,private,05-Oct
123,male,group C,some high school,standard,completed,61,49,51,divorced,sometimes,yes,4,private,05-Oct
124,female,group E,high school,standard,completed,75,81,85,divorced,regularly,no,1,private,05-Oct
125,female,group C,some college,standard,none,41,49,42,married,never,yes,1,private,05-Oct
126,female,group B,high school,standard,none,66,70,69,single,never,yes,3,school_bus,05-Oct
127,female,group C,some high school,standard,none,61,73,68,,sometimes,yes,0,school_bus,05-Oct
128,male,group C,some high school,standard,completed,70,67,64,divorced,sometimes,yes,3,school_bus,< 5
129,female,group D,some college,free/reduced,none,47,47,50,married,sometimes,yes,1,school_bus,> 10
130,male,group B,some high school,standard,completed,73,67,73,married,regularly,yes,0,school_bus,05-Oct
131,male,group C,bachelor's degree,standard,none,63,63,59,single,regularly,yes,3,school_bus,> 10
132,female,group C,some college,standard,none,64,74,69,married,sometimes,no,4,private,05-Oct
133,male,group D,bachelor's degree,free/reduced,completed,73,66,67,married,regularly,yes,4,school_bus,< 5
134,female,group E,some high school,standard,completed,80,84,88,married,regularly,yes,1,private,05-Oct
135,female,group D,some high school,standard,none,69,77,73,divorced,regularly,yes,0,school_bus,05-Oct
136,male,group B,some college,free/reduced,completed,61,60,60,divorced,never,yes,5,school_bus,05-Oct
137,female,group C,some high school,standard,none,88,89,85,married,never,yes,,private,05-Oct
138,male,group D,bachelor's degree,standard,none,72,63,64,divorced,sometimes,no,3,school_bus,05-Oct
139,male,group B,bachelor's degree,standard,completed,87,79,75,single,regularly,no,2,private,> 10
140,female,group C,associate's degree,free/reduced,none,68,79,82,married,sometimes,yes,2,school_bus,< 5
141,female,group D,bachelor's degree,standard,completed,60,69,79,married,regularly,yes,0,school_bus,< 5
142,male,group C,some high school,standard,completed,79,82,75,,regularly,yes,5,private,05-Oct
143,female,group A,some high school,free/reduced,none,52,71,63,single,regularly,,4,school_bus,05-Oct
144,male,group D,some high school,standard,none,71,66,65,single,sometimes,no,2,private,< 5
145,female,group B,bachelor's degree,free/reduced,none,58,66,71,single,never,no,3,school_bus,> 10
146,female,group D,high school,standard,none,83,90,95,married,sometimes,yes,,school_bus,< 5
147,female,group C,associate's degree,free/reduced,completed,53,64,66,single,regularly,no,3,,< 5
148,female,group C,associate's degree,free/reduced,none,32,47,43,divorced,regularly,yes,3,private,05-Oct
149,female,group E,some college,free/reduced,none,56,68,67,married,sometimes,no,1,school_bus,> 10
150,male,group D,master's degree,standard,completed,100,100,100,single,sometimes,yes,,,05-Oct
151,male,group B,some college,free/reduced,none,21,34,24,married,sometimes,yes,0,private,05-Oct
152,male,group B,master's degree,free/reduced,completed,83,87,86,married,sometimes,no,5,school_bus,< 5
153,female,group C,some college,free/reduced,none,63,74,73,married,sometimes,yes,1,private,05-Oct
154,female,group C,high school,standard,none,58,68,66,married,never,no,1,school_bus,05-Oct
155,male,group C,some college,free/reduced,none,60,57,56,married,sometimes,yes,4,private,05-Oct
156,female,group C,associate's degree,free/reduced,none,77,84,80,single,sometimes,no,3,,05-Oct
157,male,group A,high school,standard,none,63,60,46,married,regularly,no,2,private,> 10
158,male,group D,some college,standard,completed,93,85,87,single,regularly,yes,2,school_bus,05-Oct
159,female,group C,high school,standard,completed,50,63,56,married,sometimes,yes,1,private,05-Oct
160,male,group D,high school,free/reduced,none,76,69,69,single,never,no,5,,05-Oct
161,male,group B,high school,free/reduced,completed,46,44,36,married,regularly,yes,0,school_bus,05-Oct
162,female,group D,some college,standard,none,67,80,84,married,sometimes,yes,0,school_bus,< 5
163,female,group E,master's degree,standard,completed,85,85,85,divorced,regularly,no,4,school_bus,05-Oct
164,male,group C,some college,standard,completed,69,63,61,divorced,never,no,3,private,< 5
165,male,group C,high school,standard,none,74,65,67,divorced,never,yes,1,school_bus,05-Oct
166,male,group D,high school,standard,none,53,47,43,divorced,sometimes,yes,3,private,
167,female,group D,master's degree,free/reduced,completed,53,71,81,divorced,regularly,yes,1,school_bus,05-Oct
168,male,group C,some high school,standard,none,64,63,62,single,regularly,yes,2,school_bus,< 5
169,male,group D,bachelor's degree,standard,completed,97,84,88,single,sometimes,yes,,school_bus,05-Oct
170,male,group C,some college,standard,completed,77,75,80,divorced,sometimes,no,,private,< 5
171,male,group B,high school,standard,completed,95,83,86,married,sometimes,yes,2,school_bus,> 10
172,female,group A,some high school,standard,none,33,46,38,,sometimes,no,2,school_bus,05-Oct
173,female,group C,high school,standard,none,81,77,81,married,never,yes,0,school_bus,05-Oct
174,male,group B,bachelor's degree,free/reduced,completed,62,57,62,divorced,never,yes,1,school_bus,< 5
175,male,group D,some college,standard,completed,79,78,76,married,regularly,yes,1,private,05-Oct
176,female,group D,some college,free/reduced,completed,47,61,66,married,regularly,yes,3,private,05-Oct
177,male,group A,master's degree,free/reduced,none,45,52,47,married,sometimes,yes,2,school_bus,< 5
178,male,group A,high school,standard,none,66,51,44,single,sometimes,yes,0,private,> 10
179,male,group E,some college,free/reduced,none,63,63,58,married,sometimes,yes,2,school_bus,05-Oct
180,female,group D,high school,standard,completed,86,96,100,married,,no,4,school_bus,05-Oct
181,male,group B,high school,free/reduced,none,51,44,46,married,regularly,no,3,school_bus,05-Oct
182,male,group D,associate's degree,standard,none,74,71,75,single,regularly,no,2,school_bus,< 5
183,male,group C,associate's degree,standard,none,73,72,62,divorced,sometimes,yes,1,private,05-Oct
184,male,group C,master's degree,standard,none,59,45,48,married,regularly,yes,0,private,05-Oct
185,male,group D,bachelor's degree,standard,none,70,83,80,single,sometimes,no,1,private,> 10
186,male,group D,some college,standard,none,79,73,68,single,sometimes,no,,private,> 10
187,male,group E,some college,free/reduced,completed,66,55,52,married,regularly,no,3,school_bus,05-Oct
188,female,group B,bachelor's degree,free/reduced,none,61,69,71,divorced,sometimes,yes,4,school_bus,< 5
189,male,group B,bachelor's degree,free/reduced,none,59,56,57,single,sometimes,yes,2,school_bus,05-Oct
190,male,group B,some high school,free/reduced,none,33,31,27,divorced,sometimes,no,4,school_bus,> 10
191,male,group C,high school,free/reduced,none,53,55,47,single,regularly,no,3,,> 10
192,male,group C,some college,free/reduced,completed,67,60,63,single,regularly,yes,2,school_bus,< 5
193,male,group E,some college,standard,none,84,89,82,married,sometimes,yes,1,private,< 5
194,male,group C,bachelor's degree,standard,none,71,82,72,single,sometimes,yes,3,private,05-Oct
195,male,group C,some college,standard,none,56,55,53,married,regularly,no,1,,> 10
196,female,group D,high school,free/reduced,completed,40,65,67,widowed,sometimes,,2,school_bus,< 5
197,female,group A,master's degree,free/reduced,none,42,65,61,divorced,sometimes,yes,0,school_bus,05-Oct
198,male,group D,high school,standard,none,91,77,80,married,sometimes,,1,private,< 5
199,female,group D,some high school,free/reduced,none,48,50,48,married,regularly,no,2,private,< 5
200,male,group B,some high school,standard,completed,67,69,61,married,sometimes,yes,2,private,05-Oct
201,female,group B,some high school,standard,none,55,52,52,married,never,yes,4,school_bus,< 5
202,male,group C,some high school,free/reduced,completed,69,78,76,married,never,yes,1,school_bus,05-Oct
203,male,group B,associate's degree,standard,completed,78,73,73,married,sometimes,yes,3,school_bus,05-Oct
204,male,group B,high school,standard,none,79,64,66,married,sometimes,yes,3,private,05-Oct
205,male,group C,bachelor's degree,free/reduced,none,41,42,40,single,sometimes,no,3,private,05-Oct
206,female,group E,bachelor's degree,standard,completed,81,91,98,married,sometimes,no,4,school_bus,05-Oct
207,female,group E,some college,standard,none,75,81,78,divorced,sometimes,,2,private,< 5
208,male,group D,bachelor's degree,standard,none,81,80,82,single,regularly,no,1,school_bus,< 5
209,female,group B,some high school,standard,none,69,87,80,,sometimes,yes,0,school_bus,05-Oct
210,male,group B,some high school,standard,none,78,67,66,married,sometimes,yes,4,,< 5
211,male,group D,high school,standard,none,74,55,65,single,regularly,yes,2,,> 10
212,male,group B,high school,standard,none,77,78,67,single,regularly,no,5,private,05-Oct
213,male,group C,associate's degree,standard,completed,76,81,82,married,regularly,yes,3,private,05-Oct
214,female,group D,high school,standard,none,58,70,66,divorced,sometimes,yes,1,private,< 5
215,female,group D,master's degree,standard,none,86,90,89,married,regularly,yes,6,,05-Oct
216,female,group B,bachelor's degree,standard,completed,84,94,94,single,sometimes,no,1,,05-Oct
217,male,group A,high school,free/reduced,none,56,53,50,divorced,regularly,yes,3,private,05-Oct
218,male,group D,bachelor's degree,standard,none,66,57,55,single,sometimes,yes,2,school_bus,05-Oct
219,male,group A,high school,standard,completed,71,79,74,married,sometimes,yes,2,school_bus,< 5
220,male,group C,some high school,standard,none,57,59,46,divorced,sometimes,yes,2,school_bus,05-Oct
221,male,group C,associate's degree,free/reduced,none,67,69,64,single,regularly,yes,1,private,> 10
222,female,group B,high school,standard,none,71,73,76,widowed,sometimes,yes,3,school_bus,05-Oct
223,male,group E,some high school,standard,completed,100,100,96,single,sometimes,yes,1,school_bus,> 10
224,male,group C,high school,standard,none,82,76,72,married,regularly,no,1,school_bus,05-Oct
225,male,group D,associate's degree,standard,completed,92,97,92,single,sometimes,no,1,school_bus,05-Oct
226,female,group D,associate's degree,free/reduced,completed,50,75,83,married,regularly,yes,3,private,< 5
227,female,group D,some college,standard,none,82,85,89,single,sometimes,no,1,private,05-Oct
228,female,group D,high school,free/reduced,completed,55,63,70,,sometimes,yes,1,school_bus,> 10
229,male,group A,high school,free/reduced,none,53,43,43,married,sometimes,no,2,,
230,male,group A,associate's degree,free/reduced,none,68,61,51,married,sometimes,no,3,private,< 5
231,male,group D,master's degree,standard,none,73,70,68,married,sometimes,yes,6,school_bus,05-Oct
232,male,group E,associate's degree,standard,completed,80,69,66,single,never,yes,0,school_bus,< 5
233,male,group B,master's degree,standard,none,79,83,76,married,sometimes,no,1,school_bus,> 10
234,female,group E,some high school,standard,completed,91,87,86,married,regularly,yes,4,private,< 5
235,female,group E,high school,standard,none,64,81,73,single,sometimes,yes,3,school_bus,05-Oct
236,male,group A,associate's degree,standard,none,66,64,56,divorced,sometimes,no,3,school_bus,> 10
237,male,group D,associate's degree,free/reduced,none,68,58,62,married,never,yes,2,private,05-Oct
238,male,group C,high school,standard,completed,44,45,41,married,regularly,no,3,school_bus,< 5
239,male,group B,high school,standard,none,43,49,41,single,sometimes,yes,4,school_bus,05-Oct
240,male,group B,some high school,standard,completed,52,45,49,married,sometimes,no,1,private,
241,male,group C,high school,free/reduced,none,48,48,46,married,sometimes,no,1,school_bus,05-Oct
242,male,group C,some college,standard,none,68,67,58,divorced,never,yes,5,private,05-Oct
243,male,group C,some college,free/reduced,none,70,64,62,married,regularly,no,5,private,< 5
244,male,group C,some college,free/reduced,none,73,72,68,single,never,yes,2,private,> 10
245,female,group B,high school,standard,completed,49,62,60,married,sometimes,no,1,private,05-Oct
246,male,group B,associate's degree,standard,none,67,71,62,married,regularly,no,1,school_bus,< 5
247,female,group C,high school,free/reduced,completed,55,75,69,married,sometimes,yes,3,private,> 10
248,female,group B,bachelor's degree,free/reduced,none,58,60,64,married,regularly,no,2,private,05-Oct
249,female,group B,some college,standard,completed,78,91,91,single,regularly,yes,1,,05-Oct
250,male,group C,high school,standard,none,49,48,42,married,regularly,yes,1,school_bus,
251,male,group C,some high school,standard,none,59,54,51,married,,yes,3,private,< 5
252,female,group C,bachelor's degree,free/reduced,none,72,96,94,single,regularly,,2,school_bus,05-Oct
253,female,group C,master's degree,free/reduced,completed,68,83,80,married,sometimes,,0,school_bus,05-Oct
254,male,group E,high school,standard,completed,84,79,74,married,sometimes,no,2,private,
255,female,group D,master's degree,standard,completed,80,84,98,married,sometimes,no,3,school_bus,05-Oct
256,male,group D,bachelor's degree,standard,none,79,73,73,married,sometimes,yes,2,school_bus,05-Oct
257,male,group C,some high school,free/reduced,none,57,60,50,single,regularly,no,1,school_bus,05-Oct
258,male,group B,some college,standard,completed,81,82,83,divorced,regularly,no,1,school_bus,05-Oct
259,female,group C,bachelor's degree,standard,completed,62,70,79,divorced,sometimes,no,2,,05-Oct
260,male,group D,some high school,standard,none,67,71,67,married,regularly,,4,private,< 5
261,female,group B,high school,standard,none,60,73,68,married,sometimes,yes,0,school_bus,< 5
262,female,group C,bachelor's degree,standard,completed,70,81,84,,sometimes,yes,3,school_bus,< 5
263,female,group E,some college,standard,completed,76,95,97,married,regularly,yes,4,school_bus,< 5
264,female,group C,some college,standard,completed,74,90,84,divorced,sometimes,yes,0,school_bus,> 10
265,male,group C,bachelor's degree,standard,none,58,61,55,married,sometimes,yes,2,school_bus,05-Oct
267,female,group B,some high school,free/reduced,none,47,59,54,married,never,yes,2,school_bus,05-Oct
268,female,group C,associate's degree,free/reduced,none,60,79,78,married,never,no,3,,< 5
269,male,group C,some college,free/reduced,completed,81,84,86,,,yes,1,school_bus,< 5
270,female,group D,some high school,standard,none,49,59,63,married,regularly,yes,2,private,> 10
271,male,group C,high school,standard,completed,81,84,83,married,sometimes,no,1,school_bus,05-Oct
272,male,group B,master's degree,standard,completed,82,81,72,married,sometimes,yes,1,private,
273,male,group E,bachelor's degree,standard,completed,89,69,77,divorced,regularly,no,3,,05-Oct
274,female,group E,bachelor's degree,standard,completed,95,100,100,married,regularly,no,3,,
275,male,group A,some college,standard,none,60,50,43,married,sometimes,yes,1,private,05-Oct
276,male,group A,bachelor's degree,standard,none,57,39,40,married,regularly,yes,2,,05-Oct
277,female,group D,some high school,standard,none,59,61,58,divorced,regularly,yes,0,school_bus,05-Oct
278,female,group D,master's degree,free/reduced,completed,64,76,83,widowed,sometimes,no,1,,05-Oct
279,male,group D,high school,standard,none,81,73,70,single,sometimes,yes,,school_bus,< 5
280,female,group B,high school,free/reduced,completed,41,57,55,divorced,regularly,no,2,private,> 10
281,male,group C,high school,free/reduced,none,71,66,64,married,never,yes,1,private,05-Oct
282,female,group A,bachelor's degree,free/reduced,completed,71,76,81,married,regularly,no,4,,05-Oct
283,female,group C,high school,standard,completed,79,100,100,married,never,no,2,private,05-Oct
284,female,group C,high school,standard,none,59,62,60,married,sometimes,yes,3,school_bus,< 5
285,male,group C,associate's degree,standard,completed,60,63,63,married,sometimes,yes,,private,05-Oct
286,male,group D,some college,free/reduced,none,55,56,55,,regularly,yes,1,private,< 5
287,male,group C,associate's degree,free/reduced,completed,68,62,64,married,regularly,no,3,school_bus,05-Oct
288,female,group C,some college,standard,none,80,83,79,single,regularly,yes,0,school_bus,< 5
289,male,group D,some college,standard,completed,99,91,95,married,sometimes,no,2,private,05-Oct
290,female,group E,some high school,free/reduced,completed,48,52,55,married,sometimes,no,2,school_bus,05-Oct
291,male,group B,bachelor's degree,free/reduced,none,61,65,60,married,regularly,yes,0,private,05-Oct
292,female,group E,some college,free/reduced,none,48,61,51,married,regularly,yes,2,private,05-Oct
293,female,group C,some college,standard,none,70,69,68,single,sometimes,yes,3,school_bus,< 5
294,female,group A,associate's degree,standard,none,59,71,69,single,regularly,yes,0,school_bus,05-Oct
295,female,group D,some high school,standard,none,51,62,67,married,regularly,yes,1,private,05-Oct
296,male,group A,high school,standard,completed,70,69,67,divorced,sometimes,no,3,private,05-Oct
297,male,group C,some high school,free/reduced,none,66,68,64,single,sometimes,yes,1,school_bus,> 10
298,male,group C,associate's degree,standard,none,90,76,78,married,sometimes,no,3,private,
299,male,group C,associate's degree,standard,none,69,66,59,,sometimes,no,1,school_bus,05-Oct
300,female,group D,bachelor's degree,standard,none,55,56,52,married,sometimes,yes,,private,< 5
301,male,group B,some college,free/reduced,completed,81,77,78,married,sometimes,no,1,private,> 10
302,female,group D,some college,free/reduced,none,71,84,85,married,regularly,no,3,private,05-Oct
303,female,group C,bachelor's degree,standard,completed,67,75,76,married,sometimes,no,3,school_bus,< 5
304,male,group B,associate's degree,standard,none,68,65,61,married,regularly,yes,4,,> 10
305,male,group C,some college,free/reduced,none,46,48,44,divorced,sometimes,no,3,school_bus,05-Oct
306,male,group C,some college,free/reduced,none,64,62,55,married,sometimes,yes,5,private,< 5
307,female,group C,some high school,standard,completed,63,71,70,married,sometimes,no,2,school_bus,> 10
308,female,group C,associate's degree,standard,completed,74,90,95,married,regularly,yes,3,private,
309,female,group C,some high school,standard,none,66,71,68,married,sometimes,yes,1,school_bus,> 10
310,female,group E,some college,standard,none,79,81,78,single,regularly,yes,3,private,> 10
311,male,group C,bachelor's degree,standard,completed,87,81,78,married,regularly,yes,3,private,05-Oct
312,female,group D,some high school,standard,none,70,88,85,married,sometimes,yes,3,,05-Oct
313,female,group B,some college,standard,none,49,49,51,married,sometimes,no,1,private,05-Oct
314,male,group E,master's degree,standard,completed,100,99,97,single,regularly,yes,6,,05-Oct
315,female,group D,some college,standard,completed,74,74,78,married,sometimes,yes,4,school_bus,05-Oct
316,female,group C,associate's degree,standard,none,70,84,75,married,regularly,no,3,school_bus,05-Oct
317,male,group C,bachelor's degree,free/reduced,completed,79,72,76,married,,,0,school_bus,
318,male,group D,associate's degree,standard,none,93,76,79,married,sometimes,yes,1,,05-Oct
319,female,group D,some college,standard,none,97,100,97,divorced,never,yes,4,school_bus,> 10
320,male,group E,some high school,free/reduced,completed,84,84,77,married,sometimes,yes,0,school_bus,05-Oct
321,female,group D,some high school,free/reduced,none,56,71,70,divorced,sometimes,yes,2,school_bus,05-Oct
322,female,group B,high school,free/reduced,none,71,81,78,married,sometimes,yes,1,school_bus,> 10
323,female,group C,some college,standard,none,60,73,68,married,sometimes,no,4,school_bus,05-Oct
324,female,group B,some college,standard,completed,61,75,78,married,never,yes,0,school_bus,05-Oct
325,male,group C,master's degree,free/reduced,completed,80,85,84,married,sometimes,yes,3,school_bus,> 10
326,male,group C,some high school,standard,none,59,46,50,single,regularly,yes,2,private,> 10
327,female,group B,associate's degree,free/reduced,none,59,70,73,divorced,sometimes,yes,2,private,> 10
328,male,group A,associate's degree,free/reduced,none,56,47,44,divorced,never,no,1,school_bus,> 10
329,female,group D,high school,standard,completed,92,94,100,married,never,yes,1,private,05-Oct
330,male,group A,associate's degree,standard,completed,70,67,71,married,regularly,no,2,school_bus,< 5
331,female,group C,high school,standard,none,64,81,77,married,sometimes,yes,1,school_bus,05-Oct
332,male,group D,some high school,standard,completed,54,51,56,widowed,sometimes,yes,4,,05-Oct
333,female,group C,associate's degree,standard,completed,47,59,59,married,never,,2,,05-Oct
334,male,group C,high school,standard,none,62,56,50,single,regularly,yes,1,school_bus,> 10
335,male,group D,some college,standard,none,65,57,59,single,never,yes,1,school_bus,05-Oct
336,female,group C,some high school,standard,none,66,80,80,married,regularly,no,4,school_bus,< 5
337,female,group D,high school,standard,none,97,100,96,single,sometimes,no,1,school_bus,05-Oct
338,male,group C,bachelor's degree,standard,none,70,75,68,single,sometimes,yes,1,private,05-Oct
339,female,group B,high school,standard,none,77,80,75,married,sometimes,no,1,private,05-Oct
340,female,group B,high school,standard,completed,60,66,71,married,sometimes,yes,2,private,05-Oct
341,male,group C,high school,standard,completed,94,80,85,married,regularly,,1,school_bus,> 10
342,female,group B,high school,standard,completed,64,81,87,single,never,yes,3,school_bus,
343,male,group C,some high school,free/reduced,completed,42,40,39,married,sometimes,yes,6,school_bus,> 10
344,male,group D,some high school,standard,none,68,68,64,married,never,yes,2,school_bus,05-Oct
345,female,group B,some college,free/reduced,none,53,61,57,married,sometimes,yes,2,,05-Oct
346,female,group B,some high school,free/reduced,none,66,77,76,married,never,yes,1,private,05-Oct
347,female,group C,associate's degree,free/reduced,none,40,47,43,married,never,no,3,school_bus,05-Oct
348,male,group B,high school,standard,none,60,57,58,married,regularly,no,4,school_bus,
349,female,group A,some high school,standard,none,60,72,67,married,sometimes,yes,1,private,
350,male,group C,high school,free/reduced,completed,72,74,67,married,never,yes,0,school_bus,< 5
351,female,group C,some high school,standard,completed,69,75,85,married,sometimes,yes,3,private,> 10
352,male,group A,high school,free/reduced,completed,49,55,51,married,regularly,yes,2,school_bus,< 5
353,female,group C,master's degree,standard,none,56,60,66,single,never,yes,3,private,05-Oct
354,female,group E,some high school,standard,none,64,77,68,married,sometimes,no,1,school_bus,05-Oct
355,male,group D,some college,standard,completed,89,96,97,,never,no,1,school_bus,> 10
356,female,group C,high school,standard,none,80,80,83,single,regularly,yes,1,school_bus,05-Oct
357,female,group D,associate's degree,standard,none,68,66,69,married,regularly,yes,1,school_bus,05-Oct
358,female,group C,associate's degree,standard,none,56,68,73,single,never,yes,0,private,05-Oct
359,female,group B,some college,free/reduced,completed,57,72,72,single,regularly,no,1,school_bus,> 10
360,female,group C,some high school,free/reduced,none,50,58,57,married,regularly,yes,4,school_bus,< 5
361,female,group B,some college,free/reduced,completed,42,61,61,married,never,yes,5,,> 10
362,female,group B,associate's degree,standard,none,71,76,78,married,sometimes,yes,0,private,< 5
363,male,group B,associate's degree,free/reduced,none,58,62,62,married,regularly,no,3,,05-Oct
364,female,group C,high school,standard,none,44,58,54,,sometimes,yes,1,school_bus,05-Oct
365,female,group C,master's degree,free/reduced,none,48,66,62,married,never,yes,3,private,05-Oct
366,male,group D,some college,free/reduced,none,45,61,56,married,,yes,2,private,< 5
367,female,group D,some college,free/reduced,none,70,74,71,single,regularly,yes,3,school_bus,< 5
368,male,group B,some high school,free/reduced,completed,75,89,83,single,sometimes,no,1,private,> 10
369,female,group D,some college,standard,none,65,63,69,single,sometimes,yes,3,private,05-Oct
370,male,group B,some college,standard,none,56,48,47,single,regularly,yes,2,school_bus,05-Oct
371,male,group C,bachelor's degree,standard,completed,85,88,87,divorced,sometimes,yes,1,school_bus,< 5
372,female,group C,associate's degree,standard,none,58,66,68,married,sometimes,yes,2,private,< 5
373,male,group D,some high school,standard,completed,87,85,86,married,regularly,no,2,private,05-Oct
374,female,group A,some college,standard,none,68,86,82,single,sometimes,yes,,school_bus,< 5
375,male,group E,some college,free/reduced,completed,86,79,75,married,regularly,yes,4,school_bus,05-Oct
376,male,group E,high school,standard,completed,76,66,68,divorced,regularly,no,3,school_bus,> 10
377,male,group B,bachelor's degree,standard,completed,83,74,73,divorced,regularly,yes,0,school_bus,05-Oct
378,male,group C,some high school,free/reduced,none,28,19,16,married,regularly,yes,1,school_bus,05-Oct
379,female,group E,some high school,standard,none,66,73,71,divorced,regularly,,2,school_bus,> 10
380,male,group A,some college,standard,completed,76,79,74,married,sometimes,no,2,school_bus,05-Oct
381,male,group C,associate's degree,standard,completed,87,87,85,married,sometimes,yes,7,school_bus,< 5
382,female,group C,high school,free/reduced,none,39,56,53,married,sometimes,yes,7,school_bus,> 10
383,female,group D,some college,standard,none,58,62,64,divorced,sometimes,yes,3,private,05-Oct
384,male,group A,some college,standard,none,57,60,55,single,sometimes,yes,4,private,< 5
385,female,group B,some high school,standard,completed,56,74,76,married,regularly,no,2,private,05-Oct
386,male,group C,associate's degree,standard,completed,100,86,87,divorced,sometimes,no,1,,< 5
387,female,group D,high school,free/reduced,none,67,71,74,single,never,yes,1,private,05-Oct
388,female,group D,bachelor's degree,free/reduced,none,59,66,66,single,sometimes,no,2,school_bus,05-Oct
389,female,group E,associate's degree,standard,completed,53,56,58,divorced,sometimes,no,3,private,05-Oct
390,female,group B,some high school,free/reduced,none,47,65,58,married,sometimes,yes,3,school_bus,> 10
391,female,group B,some college,standard,completed,23,35,37,married,regularly,yes,0,private,05-Oct
392,female,group D,associate's degree,standard,none,86,88,90,married,sometimes,yes,0,school_bus,05-Oct
393,male,group A,some high school,standard,none,85,73,66,married,sometimes,no,1,school_bus,> 10
394,female,group D,some high school,free/reduced,completed,74,83,82,married,never,yes,1,,05-Oct
395,male,group C,high school,free/reduced,completed,75,72,69,single,sometimes,no,1,school_bus,> 10
396,male,group B,associate's degree,standard,none,90,87,78,single,sometimes,yes,2,school_bus,> 10
397,female,group D,bachelor's degree,standard,none,58,68,68,married,regularly,yes,2,school_bus,> 10
398,female,group E,some high school,free/reduced,none,87,88,83,single,sometimes,no,1,private,< 5
399,male,group E,some high school,free/reduced,none,55,53,46,married,never,yes,1,school_bus,05-Oct
400,male,group C,some high school,standard,none,81,74,77,divorced,sometimes,yes,2,private,
401,female,group C,some high school,standard,completed,63,68,72,married,never,yes,5,school_bus,05-Oct
402,male,group E,bachelor's degree,standard,none,100,93,95,married,sometimes,no,1,school_bus,< 5
403,female,group B,bachelor's degree,standard,completed,47,60,64,married,regularly,,2,school_bus,05-Oct
404,male,group D,high school,standard,completed,79,78,78,married,never,yes,0,private,05-Oct
405,female,group D,master's degree,standard,completed,89,99,100,widowed,regularly,,2,private,< 5
406,female,group B,bachelor's degree,free/reduced,none,47,52,48,married,sometimes,no,3,school_bus,05-Oct
407,male,group B,high school,free/reduced,none,56,58,48,married,regularly,yes,1,school_bus,< 5
408,female,group B,bachelor's degree,free/reduced,completed,68,92,93,married,sometimes,yes,0,private,05-Oct
409,female,group B,some college,standard,completed,86,94,91,married,sometimes,no,3,private,05-Oct
410,female,group A,some high school,standard,none,49,46,52,married,sometimes,yes,1,school_bus,> 10
411,female,group B,high school,standard,none,54,71,69,single,sometimes,yes,3,private,> 10
412,male,group B,some college,free/reduced,completed,55,50,51,married,never,yes,1,,< 5
413,male,group C,some high school,standard,none,76,75,68,married,sometimes,yes,7,school_bus,05-Oct
414,female,group E,some college,standard,none,82,100,92,married,sometimes,,0,private,< 5
415,male,group A,some college,free/reduced,completed,74,72,70,married,sometimes,no,1,private,05-Oct
416,female,group D,associate's degree,free/reduced,none,52,78,73,married,sometimes,yes,2,school_bus,05-Oct
417,male,group A,associate's degree,free/reduced,completed,61,67,59,divorced,regularly,yes,1,school_bus,05-Oct
418,female,group A,high school,standard,none,62,72,72,divorced,never,yes,4,private,05-Oct
419,male,group E,bachelor's degree,free/reduced,none,77,73,71,divorced,,yes,1,private,05-Oct
420,female,group B,high school,free/reduced,none,31,44,44,married,regularly,yes,1,private,05-Oct
421,male,group D,associate's degree,free/reduced,completed,77,75,77,divorced,regularly,yes,0,,< 5
422,female,group C,some college,free/reduced,none,29,42,42,married,sometimes,yes,0,school_bus,05-Oct
423,male,group C,high school,standard,none,71,65,61,single,never,yes,5,private,05-Oct
424,female,group D,associate's degree,standard,completed,69,84,81,divorced,sometimes,yes,1,school_bus,< 5
425,male,group B,some college,standard,completed,69,68,64,divorced,regularly,yes,0,private,05-Oct
426,female,group B,high school,free/reduced,none,31,35,37,divorced,never,yes,1,private,05-Oct
427,male,group B,some college,free/reduced,none,62,60,52,single,sometimes,yes,2,school_bus,< 5
428,female,group C,bachelor's degree,standard,completed,81,75,84,married,regularly,yes,3,,05-Oct
